qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,gleinig,dcsp,topdown,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
4,30,2,2,2,26,28,3,21,8,17,1,1,3,18,8,4,4,4
4,27,2,2,2,27,31,3,21,8,16,3,3,3,20,21,4,4,4
4,28,10,4,10,27,28,4,21,8,16,3,3,4,12,8,4,3,4
4,32,6,6,8,27,29,3,28,8,16,3,3,3,27,14,4,3,4
4,29,8,4,8,26,29,2,14,8,18,4,4,2,10,15,4,3,4
4,28,10,4,10,26,28,4,21,7,18,4,4,4,24,13,4,3,4
4,28,2,4,2,25,28,2,21,8,16,3,3,2,19,22,4,4,4
4,34,5,8,6,30,28,3,21,7,17,3,3,3,29,16,4,4,4
4,29,8,4,8,27,29,3,28,8,17,3,3,3,20,15,4,3,4
4,29,2,2,2,27,30,3,28,8,18,4,4,3,21,8,4,3,4
2,26,2,2,2,26,26,2,21,6,18,1,1,2,11,14,2,4,2
4,29,8,4,8,26,29,2,14,8,18,4,4,2,10,15,4,3,4
4,28,9,4,9,25,28,3,21,8,16,3,3,3,25,19,4,3,4
4,34,5,8,6,30,28,3,21,7,17,3,3,3,29,16,4,4,4
4,26,2,2,2,26,26,3,14,8,17,4,4,3,10,9,4,3,4
4,32,12,5,12,30,29,4,28,8,17,4,4,4,19,14,4,4,4
4,32,10,6,6,28,28,2,28,8,17,1,1,2,32,16,4,4,4
4,27,6,4,4,28,30,4,21,8,17,4,4,4,15,13,4,3,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,18,16,4,4,4
4,28,4,4,4,27,30,4,28,8,17,3,3,4,15,8,4,3,4
4,29,8,4,8,26,29,2,14,8,18,4,4,2,11,15,4,3,4
4,29,2,2,2,26,29,3,14,8,18,4,4,3,4,8,4,3,4
4,29,8,6,8,27,29,4,28,8,16,3,3,4,24,8,4,3,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,12,7,4,4,4
4,26,2,2,2,24,24,2,7,8,2,3,3,2,13,1,4,4,4
4,29,10,8,7,29,30,4,21,8,17,4,4,4,19,15,4,3,4
4,30,10,4,10,25,30,3,28,8,17,4,4,3,25,9,4,3,4
4,31,8,6,8,31,32,4,28,8,16,4,4,4,27,15,4,3,4
4,32,10,6,6,28,28,2,28,8,17,1,1,2,32,16,4,4,4
4,27,2,2,2,27,31,3,21,8,16,3,3,3,21,21,4,4,4
2,26,2,2,2,26,26,3,28,6,18,1,1,3,11,9,2,4,2
4,27,6,4,4,28,30,4,21,8,17,4,4,4,15,13,4,3,4
4,27,2,2,2,26,26,2,14,8,17,4,4,2,12,15,4,3,4
4,33,10,6,10,29,31,4,28,8,16,4,4,4,19,9,4,4,4
2,28,3,2,2,26,26,3,21,6,18,1,1,3,4,8,2,4,2
4,27,2,2,2,27,31,3,21,8,16,3,3,3,21,21,4,4,4
4,31,12,6,8,28,30,3,28,7,18,4,4,3,27,16,4,3,4
4,29,2,2,2,27,30,3,28,8,18,4,4,3,20,8,4,3,4
4,27,2,2,2,27,31,3,7,8,2,3,3,3,4,1,4,4,4
4,30,8,4,8,27,30,3,28,8,17,4,4,3,20,15,4,3,4
4,28,9,4,9,25,28,3,21,8,16,3,3,3,25,19,4,3,4
4,30,8,4,8,27,30,3,28,8,17,4,4,3,21,15,4,3,4
4,30,2,4,2,25,30,3,28,8,17,1,1,3,26,9,4,4,4
4,29,8,4,8,26,29,2,21,8,17,1,1,2,25,14,4,4,4
4,29,8,4,8,27,29,3,28,8,17,3,3,3,20,15,4,3,4
4,30,2,6,6,28,28,2,28,8,17,4,4,2,34,14,4,3,4
4,32,6,6,8,27,29,3,28,8,16,3,3,3,26,14,4,3,4
4,29,8,4,8,26,29,2,28,8,18,4,4,2,19,14,4,3,4
4,28,10,4,10,26,28,4,21,7,18,4,4,4,24,13,4,3,4
4,29,2,2,2,27,30,3,28,8,18,4,4,3,21,8,4,3,4
2,26,2,2,2,26,26,3,28,6,18,1,1,3,11,9,2,4,2
4,30,4,4,8,27,30,4,21,8,17,3,3,4,11,8,4,3,4
4,32,12,5,8,29,32,4,28,8,17,3,3,4,19,9,4,4,4
4,30,10,4,10,25,30,3,28,8,17,4,4,3,26,9,4,3,4
4,32,12,5,6,30,29,4,28,8,17,4,4,4,19,14,4,4,4
4,29,8,6,8,27,29,4,28,8,16,3,3,4,24,8,4,3,4
4,29,10,8,10,29,29,4,21,8,17,4,4,4,6,7,4,3,4
4,28,10,4,10,26,28,4,21,7,18,4,4,4,24,13,4,3,4
2,26,2,2,2,26,26,3,28,6,18,1,1,3,10,9,2,4,2
4,29,10,4,10,28,29,3,21,7,18,3,3,3,19,16,4,4,4
4,29,10,8,10,29,29,4,21,8,17,4,4,4,19,15,4,3,4
4,27,2,2,2,27,31,3,21,8,16,3,3,3,21,21,4,4,4
4,29,8,4,8,27,29,3,21,8,17,3,3,3,17,14,4,3,4
4,30,10,4,10,25,30,3,28,8,17,4,4,3,25,9,4,3,4
4,30,8,4,8,28,30,5,21,7,17,3,3,5,18,8,4,3,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,19,16,4,4,4
4,32,12,5,12,30,29,4,28,8,17,4,4,4,19,14,4,4,4
4,29,8,4,8,27,29,3,21,8,17,3,3,3,17,14,4,3,4
4,29,8,6,8,27,29,4,28,8,16,3,3,4,25,8,4,3,4
4,32,10,6,6,28,28,2,28,8,17,1,1,2,33,16,4,4,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,18,16,4,4,4
4,28,10,4,10,27,28,4,21,7,18,4,4,4,12,7,4,3,4
4,29,10,8,10,29,29,4,21,8,17,3,3,4,6,7,4,3,4
4,29,10,8,10,29,29,4,21,8,17,4,4,4,20,15,4,4,4
4,27,2,2,2,27,31,3,7,8,2,3,3,3,4,1,4,4,4
4,32,11,4,4,28,30,5,21,7,18,3,3,5,14,7,4,4,4
4,28,10,4,10,26,28,4,21,7,18,4,4,4,25,13,4,3,4
4,32,11,4,8,28,30,5,21,7,18,3,3,5,14,7,4,4,4
4,29,10,8,10,29,29,4,21,8,17,3,3,4,6,7,4,3,4
4,28,10,4,10,27,28,4,21,8,16,3,3,4,12,8,4,3,4
2,28,3,2,2,26,26,3,21,6,18,1,1,3,4,8,2,4,2
4,30,2,4,2,25,30,3,28,8,17,1,1,3,25,9,4,4,4
4,29,8,4,8,26,29,2,28,8,18,4,4,2,19,14,4,3,4
4,30,2,2,2,26,28,3,21,8,17,1,1,3,18,8,4,4,4
4,30,2,4,2,25,30,3,28,8,17,1,1,3,25,9,4,4,4
4,30,6,8,6,29,27,3,28,7,18,4,4,3,22,8,4,3,4
4,29,8,4,8,26,29,2,21,8,17,1,1,2,25,14,4,4,4
4,30,6,8,6,29,27,3,28,7,18,3,3,3,22,8,4,3,4
4,31,12,6,8,28,30,3,28,7,18,4,4,3,26,16,4,3,4
4,28,2,4,2,25,28,2,21,8,16,3,3,2,20,22,4,4,4
4,26,2,2,2,26,26,3,14,8,17,4,4,3,10,9,4,3,4
4,27,2,2,2,26,26,2,14,8,17,4,4,2,12,15,4,3,4
4,34,8,6,8,27,30,3,21,7,17,3,3,3,20,8,4,4,4
4,32,12,5,12,30,33,4,28,8,17,4,4,4,19,14,4,4,4
4,30,4,4,8,27,30,4,21,8,17,3,3,4,11,8,4,3,4
4,29,7,6,6,27,27,2,21,8,16,3,3,2,34,21,4,4,4
4,34,5,8,6,30,28,3,21,7,17,3,3,3,30,16,4,4,4
4,27,2,2,2,27,31,3,21,8,16,3,3,3,20,21,4,4,4
4,29,8,4,8,27,29,3,28,8,17,3,3,3,20,15,4,3,4
4,30,2,6,6,28,28,2,28,8,17,4,4,2,34,14,4,3,4
4,27,6,4,4,28,31,4,21,8,17,4,4,4,15,13,4,3,4
2,26,2,2,2,26,26,3,28,6,18,1,1,3,10,9,2,4,2
4,29,8,4,8,27,29,3,28,8,17,3,3,3,20,15,4,3,4
4,29,8,4,8,26,29,2,28,8,18,4,4,2,19,14,4,3,4
4,34,8,6,8,27,30,3,21,7,17,3,3,3,19,8,4,4,4
4,28,9,4,9,25,28,3,21,8,16,3,3,3,25,19,4,3,4
4,28,10,4,10,27,28,4,21,7,18,4,4,4,12,7,4,3,4
4,30,8,4,8,27,30,3,28,8,17,4,4,3,20,15,4,3,4
4,32,12,5,6,30,29,4,28,8,17,4,4,4,19,14,4,4,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,18,16,4,4,4
4,27,2,2,2,27,31,3,7,8,2,3,3,3,4,1,4,4,4
4,31,12,6,8,28,30,3,28,7,18,4,4,3,27,16,4,3,4
4,28,9,4,9,25,28,3,21,8,16,3,3,3,25,19,4,3,4
4,29,2,2,2,27,30,3,28,8,18,4,4,3,20,8,4,3,4
4,29,8,4,8,26,29,2,21,8,17,1,1,2,25,14,4,4,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,12,7,4,4,4
4,31,12,6,8,28,30,3,28,7,18,4,4,3,26,16,4,3,4
4,29,8,4,8,26,29,2,14,8,18,4,4,2,10,15,4,3,4
2,28,3,2,2,26,26,3,21,6,18,1,1,3,4,8,2,4,2
4,32,10,6,6,28,28,2,28,8,17,1,1,2,32,16,4,4,4
4,32,12,4,9,28,30,5,21,7,18,3,3,5,13,13,4,4,4
4,29,7,6,6,27,27,2,21,8,16,3,3,2,34,21,4,4,4
4,31,6,8,6,29,27,3,21,8,16,3,3,3,22,14,4,3,4
4,27,2,2,2,26,26,2,14,8,17,4,4,2,12,15,4,3,4
4,31,12,6,8,28,30,3,28,7,18,4,4,3,26,16,4,3,4
4,29,8,4,8,26,29,2,28,8,18,4,4,2,20,14,4,3,4
4,30,2,4,2,25,30,3,28,8,17,1,1,3,25,9,4,4,4
4,29,8,4,8,27,29,3,21,8,17,3,3,3,17,14,4,3,4
4,30,8,4,8,28,30,5,21,7,17,3,3,5,17,8,4,3,4
4,30,6,8,6,29,27,3,28,7,18,3,3,3,22,8,4,3,4
4,30,2,6,6,28,28,2,28,8,17,4,4,2,35,14,4,3,4
4,33,10,6,6,29,33,4,28,8,16,4,4,4,19,9,4,4,4
4,32,11,4,4,28,30,5,21,7,18,3,3,5,14,7,4,4,4
4,34,4,6,6,29,29,4,21,8,16,4,4,4,19,13,4,4,4
4,29,7,6,6,27,27,2,21,8,16,3,3,2,34,21,4,4,4
4,28,10,4,10,27,28,4,21,7,18,4,4,4,13,7,4,3,4
4,26,2,2,2,26,26,3,14,8,17,4,4,3,10,9,4,3,4
4,28,10,4,10,27,28,4,21,8,16,3,3,4,12,8,4,3,4
4,29,8,4,8,27,29,3,28,8,17,3,3,3,20,15,4,3,4
2,26,2,2,2,26,26,2,21,6,18,1,1,2,10,14,2,4,2
4,30,8,4,8,28,30,3,28,8,17,4,4,3,17,8,4,3,4
4,27,6,4,4,28,30,4,21,8,17,4,4,4,15,13,4,3,4
4,29,8,4,8,26,29,2,14,8,18,4,4,2,10,15,4,3,4
4,29,10,8,10,29,29,4,21,8,17,3,3,4,6,7,4,3,4
4,29,8,4,8,26,29,2,28,8,18,4,4,2,19,14,4,3,4
2,30,2,2,2,26,26,2,28,6,18,1,1,2,13,15,2,4,2
4,26,2,2,2,26,26,3,14,8,17,4,4,3,10,9,4,3,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,12,7,4,4,4
4,29,2,2,2,26,29,3,14,8,18,4,4,3,4,8,4,3,4
4,30,8,4,8,27,30,3,28,8,17,4,4,3,20,15,4,3,4
4,30,8,4,8,27,30,3,28,8,17,4,4,3,21,15,4,3,4
4,26,2,2,2,26,26,3,14,8,17,4,4,3,11,9,4,3,4
4,29,10,8,10,29,29,4,21,8,17,3,3,4,6,7,4,4,4
4,34,4,6,6,29,29,4,21,8,16,4,4,4,20,13,4,4,4
4,29,8,4,8,26,29,2,21,8,17,1,1,2,26,14,4,4,4
4,30,8,4,8,28,30,5,21,7,17,3,3,5,17,8,4,3,4
4,31,6,8,6,29,27,3,21,8,16,3,3,3,22,14,4,3,4
4,30,8,4,8,27,30,3,28,8,17,4,4,3,21,15,4,3,4
4,29,8,4,8,26,29,2,14,8,18,4,4,2,10,15,4,3,4
2,28,3,2,2,26,26,3,21,6,18,1,1,3,4,8,2,4,2
2,28,3,2,2,26,26,3,21,6,18,1,1,3,4,8,2,4,2
4,30,8,4,8,28,30,5,21,7,17,3,3,5,17,8,4,4,4
4,30,10,4,10,25,30,3,28,8,17,4,4,3,26,9,4,3,4
4,26,2,2,2,26,26,3,14,8,17,4,4,3,10,9,4,3,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,12,7,4,4,4
4,29,10,8,10,29,29,4,21,8,17,4,4,4,6,7,4,3,4
4,26,2,2,2,24,24,2,7,8,2,3,3,2,12,1,4,4,4
4,30,2,4,2,25,30,3,28,8,17,1,1,3,26,9,4,4,4
4,29,2,2,2,27,30,3,28,8,18,4,4,3,20,8,4,3,4
4,29,8,4,8,26,29,2,28,8,18,4,4,2,19,14,4,3,4
4,29,10,8,7,29,29,4,21,8,17,4,4,4,19,15,4,3,4
4,29,8,4,8,26,29,2,21,8,17,1,1,2,25,14,4,4,4
4,27,2,2,2,27,31,3,21,8,16,3,3,3,20,21,4,4,4
4,29,8,6,8,27,29,4,28,8,16,3,3,4,24,8,4,3,4
4,27,2,2,2,27,31,3,21,8,16,3,3,3,20,21,4,4,4
4,34,8,6,8,27,30,3,21,7,17,3,3,3,20,8,4,4,4
4,29,10,8,7,29,29,4,21,8,17,4,4,4,6,7,4,3,4
4,30,8,4,8,28,30,5,21,7,17,3,3,5,17,8,4,4,4
4,31,8,6,4,31,31,4,28,8,16,4,4,4,27,15,4,3,4
4,30,2,6,6,28,28,2,28,8,17,4,4,2,35,14,4,3,4
4,29,2,2,2,26,29,3,14,8,18,4,4,3,4,8,4,3,4
4,29,8,4,8,26,29,2,21,8,17,1,1,2,25,14,4,4,4
4,29,7,6,6,27,27,2,21,8,16,3,3,2,34,21,4,4,4
4,29,2,2,2,27,30,3,28,8,18,4,4,3,20,8,4,3,4
4,30,4,4,8,27,30,4,21,8,17,3,3,4,11,8,4,3,4
4,28,10,4,10,26,28,4,21,7,18,4,4,4,24,13,4,3,4
4,32,10,6,6,28,28,2,28,8,17,1,1,2,32,16,4,4,4
4,32,12,4,4,28,30,5,21,7,18,3,3,5,13,13,4,3,4
4,31,12,6,8,28,30,3,28,7,18,4,4,3,26,16,4,3,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,13,7,4,4,4
4,34,5,8,6,30,28,3,21,7,17,3,3,3,29,16,4,4,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,12,7,4,4,4
2,26,2,2,2,26,26,2,21,6,18,1,1,2,10,14,2,4,2
2,28,3,2,2,26,26,3,21,6,18,1,1,3,4,8,2,4,2
4,27,2,2,2,26,26,2,14,8,17,4,4,2,12,15,4,3,4
4,30,2,4,2,25,30,3,28,8,17,1,1,3,26,9,4,4,4
4,27,2,2,2,27,31,3,7,8,2,3,3,3,4,1,4,4,4
4,28,10,4,10,27,28,4,21,8,16,3,3,4,12,8,4,3,4
4,34,5,8,6,30,28,3,21,7,17,3,3,3,29,16,4,4,4
4,29,8,6,8,27,29,4,28,8,16,3,3,4,24,8,4,3,4
4,30,8,4,8,27,30,3,28,8,17,4,4,3,21,15,4,3,4
4,34,4,6,6,29,33,4,21,8,16,4,4,4,19,13,4,4,4
4,32,6,6,8,27,29,3,28,8,16,3,3,3,26,14,4,3,4
4,29,8,4,4,28,30,4,21,8,17,4,4,4,11,7,4,3,4
4,31,12,6,8,28,30,3,28,7,18,4,4,3,27,16,4,3,4
4,30,2,4,2,25,30,3,28,8,17,1,1,3,25,9,4,4,4
4,31,12,6,8,28,30,3,28,7,18,4,4,3,26,16,4,3,4
4,29,10,4,10,28,29,3,21,7,18,3,3,3,18,16,4,4,4
4,29,8,4,8,26,29,2,28,8,18,4,4,2,19,14,4,3,4
4,30,4,4,8,27,30,4,21,8,17,3,3,4,11,8,4,3,4
4,30,6,8,6,29,27,3,28,7,18,3,3,3,23,8,4,3,4
4,28,2,4,2,25,28,2,7,8,2,3,3,2,10,1,4,4,4
4,32,12,4,4,28,30,5,21,7,18,3,3,5,13,13,4,4,4
4,29,8,6,8,27,29,4,28,8,16,3,3,4,24,8,4,3,4
4,30,8,4,8,27,30,3,28,8,17,4,4,3,20,15,4,3,4
4,27,2,2,2,27,31,3,7,8,2,3,3,3,4,1,4,4,4
4,28,4,4,8,27,30,4,28,8,17,3,3,4,15,8,4,3,4
4,28,4,4,4,27,30,4,28,8,17,3,3,4,15,8,4,3,4
2,26,2,2,2,26,26,3,28,6,18,1,1,3,11,9,2,4,2
4,30,8,4,8,28,30,5,21,7,17,3,3,5,18,13,4,3,4
4,33,10,6,10,29,30,4,28,8,16,4,4,4,19,9,4,4,4
2,26,2,2,2,26,26,2,21,6,18,1,1,2,11,14,2,4,2
4,29,8,4,8,26,29,2,21,8,17,1,1,2,25,14,4,4,4
4,27,2,2,2,27,31,3,7,8,2,3,3,3,4,1,4,4,4
4,32,12,5,12,30,29,4,28,8,17,4,4,4,19,14,4,4,4
4,30,2,2,2,26,28,3,21,8,17,1,1,3,19,8,4,4,4
4,30,8,4,8,28,30,5,21,7,17,3,3,5,18,13,4,4,4
4,30,6,8,6,29,27,3,28,7,18,3,3,3,22,8,4,3,4
